"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","4366.14474152402","4530.44283877335","4860.03732960982","5296.67925105469","5556.53130792335","5630.40568558278","5979.85152952677","6670.58570984873","7326.19540271745","8403.63654400491","9258.69693851158","9908.33288117776","10576.90124181","10856.7815233558","10988.0600250227","10902.7266600303","11236.3830791524","11645.4181332933","10865.2961184158","11284.5365589711","11510.2928071558","11697.9405556767","11886.1570633275","12227.0317117897","11638.0271516614","11819.9980004331","12383.7473919756","12908.5276467383","13553.304046849","15200.1903204523","16460.6413861449","16288.4199860435","14170.2197101478","13017.3103875487","12650.5794043764","13000.8007848798","12842.7106248742","13298.6090098749","13708.9951050389","",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19300.3385772692","19388.5557932595","19172.2705374019","19976.5267587968","20954.8506019472","21776.9785041167","21788.8439499155","22870.3822901911","23614.8304414366","24755.9986802203","26012.6539219031","26156.2689008419","26684.1743521361","26962.2304573073","27365.318011719","27392.200556088","27821.2114922554","28501.861522559","28425.03609063","29259.1571007099","29786.6641299095","30302.2553863101","30790.9283517341","29729.9836431424","30755.4311183405","31930.3347469336","32699.6072953509","33035.1553832008","34373.9114421048","35107.8905390145","35812.9303194007","35225.0390611261","34939.0596145601","36003.6667780752","37063.0759754992","38038.4687328291","39024.5662534149","40113.7172139535","41459.6942568523","43041.0549685558","44176.3117329878","44425.571112178","45579.1940823753","46402.6842595976","47771.0477703975","48656.4750161488","49374.0555373573","50910.3422974107","51749.8951426891","51616.6945121443","51845.6548605562","52346.9024868509","53321.8793380913","53703.5747322167","54232.6583595579","54708.1838577347","",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13087.9433824558","13737.1992387949","14014.8925544718","14501.4148067659","15287.2952019505","15716.8701517001","16487.7007483413","16857.1917310612","17519.8887035669","18555.22581282","19516.0310885071","20422.9299057974","21565.0580426385","22494.7073987862","23341.7170481891","23318.6016673456","24429.3529044515","25660.5062649009","25627.1911489406","27046.0272368009","27514.2960848102","27404.6185147371","27935.7532287844","28812.8319765318","28829.4205562995","29535.9044386387","30196.445966256","30586.8996651111","31550.3095787096","32629.3622617309","33788.8622500427","34604.5206773719","34942.2927533114","34837.9012268093","35537.7116176552","36430.0325793922","37253.4057995133","38031.7300207115","39342.4535024213","40675.6259452137","41944.7623333665","42348.811423418","42838.7686413965","42952.9479750838","43842.2955191408","44476.7796885842","45740.2390421884","47243.3404520182","47824.3748925507","45887.1306214419","46659.8408181344","47808.6234915203","47946.0560743247","47726.0309760194","47684.0063520242","47754.5949904994","",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3118.54658676172","3049.01599483444","2324.4529766324","1760.55465085842","1394.74420894615","1216.07791710291","1219.50934895182","1277.85412406008","1392.36119355104","1482.32977280697","1633.3944354131","1781.24639507096","1955.41315045621","2158.00717069154","2357.39602637373","2949.44281843844","3923.65815354896","4851.17690871859","5262.10135550006","5639.001689405","5842.80578358576","5770.96970270605","5820.0798474712","6078.32064851423","6122.98048925179","6115.75820229479","",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","214.088237033493","181.172442854728","193.896886727503","198.056626239102","206.214233769161","209.724600831765","214.192599094449","237.674614436012","231.09552103211","222.646303585823","265.113563168293","268.475557876431","248.46727430094","262.944220662424","258.086861059969","256.132331096154","271.477300575631","296.223541072231","286.518177134478","283.96375623522","279.299052260626","304.911823078379","293.432085729764","295.686131287147","287.308707467551","311.09650789483","310.655427046858","316.706342562558","321.586358710255","315.74996448712","317.563015861577","324.962056579221","320.688205315948","294.445347876113","277.899002395551","251.583351847575","228.007353581256","221.342162602886","228.597252896518","222.469395491882","215.890324008695","214.630761814204","217.499210508131","207.833400896911","210.474212072144","205.072022525394","208.649727448129","211.021689335252","213.954557385299","213.720095834046","214.230990840075","215.708934517953","216.967683012505","219.532939480784","222.311563617322","206.711448660655","",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13171.3468128415","13781.2140383011","14441.8901962506","14958.0944098387","15847.9722913276","16263.8935540233","16664.2231873227","17212.7387153109","17864.2485119978","18994.7488291633","20106.431418331","20869.7698336192","21889.0677373026","23212.8066618531","24196.2816626064","23652.1484983807","24944.534998006","25069.7512408881","25758.1640815793","26337.4980501218","27477.6505627985","27401.6326076066","27572.1609796424","27660.3401306312","28342.975595388","28802.5622988373","29317.1114213477","29967.7982633951","31283.622858911","32251.5378156555","33164.3428066431","33647.0072902779","34023.7076482866","33565.0682383742","34541.5830565961","35291.3254631008","35783.6684518091","37021.7020421321","37672.4559077698","38925.5197576431","40242.2232533425","40429.5133047747","40965.3243925983","41110.086717009","42420.3943573578","43071.2180196102","43857.4891095113","45015.7857180831","44995.274247459","43614.7765944622","44382.8189867028","44558.0035187718","44296.3292455722","44050.550195841","44585.8107889454","45036.1283023386","",
"Benin","BEN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","520.404608015829","529.268362534437","503.531487723175","519.033497667117","544.34419457718","563.145582974713","572.619106168008","567.769087114384","577.934650107444","582.429468360295","582.148818017778","561.053006170278","583.87482007098","591.734880258509","597.19449544699","554.311150073943","545.416026115158","558.123554515388","550.530862501843","571.075194220263","593.482414534085","634.772202262843","630.942250948686","586.503240585837","614.97984300966","642.272158518392","637.310195316205","609.566739503397","611.592145181674","575.602426267156","606.570759901423","610.092502792349","605.280836111262","617.173950907413","607.40602702064","622.724898135753","629.598803249332","646.346030844632","652.939320774459","668.019726388004","685.910565330476","699.761327724279","708.576226888345","708.985723417561","716.363573400163","705.510804305601","710.658093635291","730.372938947138","743.412827269708","738.639031868781","732.953622726674","733.864893231345","748.470598224147","781.133059980759","809.139074217505","804.723972579933","",
"Burkina Faso","BFA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","239.084811443247","245.435199956215","257.024911861388","250.35926352413","252.505062942048","258.163910680009","255.527774203406","273.563790711765","277.241422823017","278.042130828878","273.595315295666","272.673321064376","274.101190151316","270.443330045235","287.541512440281","290.653059039881","309.452058543217","304.535601766971","312.134924273335","316.74283801794","312.192554994636","317.913998515486","339.890785011627","332.580585373995","318.409186964638","336.735869037516","354.229555819298","344.302119836446","354.830871842232","353.017968101976","341.681922549886","362.828324283807","354.009818461742","356.4724949609","351.443203426656","361.469829062814","390.339195690452","403.596991456338","421.115114841564","439.416764497933","435.182625425392","450.9187591598","457.253404392366","478.880194667849","485.869864722228","512.461469343844","528.27992909921","533.426789438405","547.291155244759","546.526759018732","575.011881752413","595.044213713015","614.962717763197","631.282519392523","637.883511886526","644.609116491176","",
"Bangladesh","BGD","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","370.586829020096","381.99854846563","391.485601154841","378.55866967628","407.630939729703","401.526353981349","398.690604862539","378.418971329377","401.141054326705","394.277416181918","406.024897904659","375.867854464017","317.789851425189","323.193502244188","348.212124811083","327.370767910419","337.921771268675","338.062655181596","352.098359269575","358.777167788303","351.83682547087","367.20002005728","365.128755173096","369.350587539237","376.925608257065","379.238950348624","384.582239184277","388.524466288523","387.52693268616","388.417695276088","400.258557925582","404.564036386813","417.059772877482","427.259391932175","434.416504135509","446.969830512199","457.303085735771","467.832192601153","481.929827550727","494.34105641265","510.459216660217","526.371665169071","536.709154373055","552.52742281203","572.214467752416","600.716218377829","632.348302977383","668.885821182138","701.172231990128","728.423613327894","760.331935200195","800.04347928581","842.053283162042","881.898479582845","924.061164393362","972.880678008085","",
"Bulgaria","BGR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3223.80920991508","3370.52941673568","3439.02848938878","3548.13238630796","3660.06912821001","3758.34027851788","3917.5150570367","4148.59408966285","4597.47573901246","4498.55228087794","4162.8159827076","3849.18655875106","3607.7939153346","3582.85635557714","3660.40222148562","3781.90374487118","3862.28186922653","3843.12252499241","4004.26340929735","3800.87414209981","4011.0958404745","4259.63549033747","4603.11686041741","4864.60694987723","5211.75207655702","5618.67856409118","6029.96404547354","6625.02873255093","7048.4458739345","6794.65668686819","6843.26328885315","7019.17801535239","7062.13711726262","7162.99482436387","7299.55244471069","7612.02494778448","",
